#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
RMDv1_0000002164	886293.Sinac_4765	3.89e-24	122.0	COG3210@1|root,COG4733@1|root,COG3210@2|Bacteria,COG4733@2|Bacteria,2J50K@203682|Planctomycetes	203682|Planctomycetes	U	Pkd domain containing protein	-	-	2.7.11.1	ko:K12567	ko05410,ko05414,map05410,map05414	-	-	-	ko00000,ko00001,ko01000,ko01001,ko04131,ko04147,ko04812	-	-	-	-
RMDv1_0000002165	63737.Npun_R4253	2.35e-317	1002.0	COG2931@1|root,COG2931@2|Bacteria,1GQ7W@1117|Cyanobacteria,1HTNJ@1161|Nostocales	1117|Cyanobacteria	Q	Domain of unknown function (DUF4114)	-	-	-	-	-	-	-	-	-	-	-	-	DUF4114,FG-GAP
RMDv1_0000002166	1265313.HRUBRA_00614	2.86e-125	414.0	28MY3@1|root,2ZB50@2|Bacteria,1R833@1224|Proteobacteria,1RY08@1236|Gammaproteobacteria,1J8JE@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000002167	483219.LILAB_30110	0.0	2377.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2WN7A@28221|Deltaproteobacteria,2YTZA@29|Myxococcales	28221|Deltaproteobacteria	Q	non-ribosomal peptide synthetase	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,TauD,Thioesterase,ketoacyl-synt
RMDv1_0000002168	316056.RPC_2925	7.91e-24	120.0	COG1388@1|root,COG1388@2|Bacteria,1QXW7@1224|Proteobacteria,2UQ93@28211|Alphaproteobacteria	28211|Alphaproteobacteria	M	LysM domain	-	-	-	-	-	-	-	-	-	-	-	-	LysM
RMDv1_0000002169	436308.Nmar_1129	5.57e-19	101.0	COG3794@1|root,arCOG02926@2157|Archaea	2157|Archaea	C	PFAM blue (type 1) copper domain protein	-	-	-	-	-	-	-	-	-	-	-	-	Copper-bind
RMDv1_0000002170	1408813.AYMG01000014_gene1651	5.22e-11	78.6	COG1361@1|root,COG3291@1|root,COG4625@1|root,COG1361@2|Bacteria,COG3291@2|Bacteria,COG4625@2|Bacteria,4NDZC@976|Bacteroidetes,1IRJP@117747|Sphingobacteriia	976|Bacteroidetes	M	C-terminal domain of CHU protein family	-	-	-	ko:K21449	-	-	-	-	ko00000,ko02000	1.B.40.2	-	-	CHU_C,DUF11,He_PIG,fn3
RMDv1_0000002171	324057.Pjdr2_1410	3.98e-13	85.5	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000002172	426117.M446_0172	0.0	1476.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002173	228410.NE0161	1.81e-87	330.0	COG1345@1|root,COG2373@1|root,COG2911@1|root,COG2931@1|root,COG1345@2|Bacteria,COG2373@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,2VNQS@28216|Betaproteobacteria	28216|Betaproteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	ko:K20276	ko02024,map02024	-	-	-	ko00000,ko00001	-	-	-	Big_3_2,Big_3_3,HemolysinCabind
RMDv1_0000002174	697282.Mettu_3712	0.0	1398.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,1SMTI@1236|Gammaproteobacteria,1XF86@135618|Methylococcales	135618|Methylococcales	Q	PFAM Beta-ketoacyl synthase, N-terminal	-	-	-	-	-	-	-	-	-	-	-	-	Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002175	1300350.DSW25_13550	9.02e-19	103.0	COG3468@1|root,COG3468@2|Bacteria	2|Bacteria	MU	cell adhesion	-	-	-	-	-	-	-	-	-	-	-	-	Autotransporter,Pertactin
RMDv1_0000002176	1224136.AMFN01000003_gene3418	5.74e-37	162.0	COG3468@1|root,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria	1224|Proteobacteria	MU	outer membrane autotransporter barrel domain	-	-	-	ko:K19231	-	-	-	-	ko00000,ko02000	1.B.12	-	-	Autotransporter,Pertactin
RMDv1_0000002177	426117.M446_0172	0.0	1474.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002178	1123278.KB893615_gene5179	1.41e-101	360.0	COG3386@1|root,COG3391@1|root,COG3386@2|Bacteria,COG3391@2|Bacteria,4NNEF@976|Bacteroidetes,47PBP@768503|Cytophagia	976|Bacteroidetes	G	NHL repeat	-	-	-	-	-	-	-	-	-	-	-	-	NHL
RMDv1_0000002179	755732.Fluta_3935	0.0	1201.0	COG1572@1|root,COG1572@2|Bacteria,4PMCS@976|Bacteroidetes,1I8GH@117743|Flavobacteriia	976|Bacteroidetes	S	Concanavalin A-like lectin/glucanases superfamily	-	-	-	-	-	-	-	-	-	-	-	-	FlgD_ig,Laminin_G_3
RMDv1_0000002180	1121948.AUAC01000002_gene1414	6.77e-24	120.0	COG5295@1|root,COG5295@2|Bacteria,1N338@1224|Proteobacteria	1224|Proteobacteria	UW	autotransporter adhesin	-	-	-	ko:K21449	-	-	-	-	ko00000,ko02000	1.B.40.2	-	-	ESPR,YadA_anchor,YadA_head,YadA_stalk
RMDv1_0000002181	426117.M446_0172	0.0	1395.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002182	426117.M446_0172	0.0	1498.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002183	43989.cce_3079	0.0	1404.0	COG3321@1|root,COG3321@2|Bacteria,1FZXE@1117|Cyanobacteria,3KG6F@43988|Cyanothece	1117|Cyanobacteria	Q	Short-chain dehydrogenase reductase SDR	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N,ADH_zinc_N_2,AMP-binding,Abhydrolase_1,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,Sulfotransfer_3,ketoacyl-synt
RMDv1_0000002184	755732.Fluta_3935	0.0	1206.0	COG1572@1|root,COG1572@2|Bacteria,4PMCS@976|Bacteroidetes,1I8GH@117743|Flavobacteriia	976|Bacteroidetes	S	Concanavalin A-like lectin/glucanases superfamily	-	-	-	-	-	-	-	-	-	-	-	-	FlgD_ig,Laminin_G_3
RMDv1_0000002185	1200792.AKYF01000017_gene5567	0.0	1195.0	COG0236@1|root,COG2227@1|root,COG3321@1|root,COG4221@1|root,COG0236@2|Bacteria,COG2227@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1VU8Z@1239|Firmicutes,4HFCI@91061|Bacilli,2771J@186822|Paenibacillaceae	91061|Bacilli	Q	Polyketide synthase modules and related proteins	pksJ	-	-	ko:K13614	-	-	-	-	ko00000,ko01004,ko01008	-	-	-	KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002187	313606.M23134_02237	1.09e-250	860.0	COG3209@1|root,COG3291@1|root,COG3386@1|root,COG4932@1|root,COG3209@2|Bacteria,COG3291@2|Bacteria,COG3386@2|Bacteria,COG4932@2|Bacteria,4NJ9V@976|Bacteroidetes,47N8F@768503|Cytophagia	976|Bacteroidetes	G	Repeats in polycystic kidney disease 1 (PKD1) and other proteins	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,PKD
RMDv1_0000002188	1265313.HRUBRA_00614	1.82e-122	406.0	28MY3@1|root,2ZB50@2|Bacteria,1R833@1224|Proteobacteria,1RY08@1236|Gammaproteobacteria,1J8JE@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000002189	1254432.SCE1572_13245	0.0	1924.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2X4FQ@28221|Deltaproteobacteria,2YYXH@29|Myxococcales	28221|Deltaproteobacteria	Q	Phosphopantetheine attachment site	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,Methyltransf_23,PP-binding
RMDv1_0000002190	1254432.SCE1572_13245	0.0	1914.0	COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,42NH4@68525|delta/epsilon subdivisions,2X4FQ@28221|Deltaproteobacteria,2YYXH@29|Myxococcales	28221|Deltaproteobacteria	Q	Phosphopantetheine attachment site	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,Methyltransf_23,PP-binding
RMDv1_0000002191	929556.Solca_2367	1.13e-136	486.0	COG2373@1|root,COG2373@2|Bacteria	2|Bacteria	U	Large extracellular alpha-helical protein	-	-	-	-	-	-	-	-	-	-	-	-	CHU_C,Calx-beta,DUF11,HYR,HemolysinCabind,IgGFc_binding
RMDv1_0000002192	1229909.NSED_00535	2.21e-53	207.0	arCOG08777@1|root,arCOG08777@2157|Archaea	1229909.NSED_00535|-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
RMDv1_0000002193	438753.AZC_1301	3.28e-45	191.0	COG2730@1|root,COG2730@2|Bacteria,1QU12@1224|Proteobacteria,2TYN6@28211|Alphaproteobacteria,3F11R@335928|Xanthobacteraceae	28211|Alphaproteobacteria	G	CBD_II	-	-	3.2.1.14,3.2.1.4	ko:K01179,ko:K01183	ko00500,ko00520,ko01100,map00500,map00520,map01100	-	R01206,R02334,R06200,R11307,R11308	RC00467	ko00000,ko00001,ko01000	-	GH18,GH5,GH9	-	CBM_2,Calx-beta,Cellulase
RMDv1_0000002194	426117.M446_0172	0.0	1379.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002195	1244869.H261_15390	5.72e-90	330.0	COG3210@1|root,COG3210@2|Bacteria,1MXIP@1224|Proteobacteria,2TTVB@28211|Alphaproteobacteria,2JRTA@204441|Rhodospirillales	204441|Rhodospirillales	U	haemagglutination activity domain	-	-	-	-	-	-	-	-	-	-	-	-	Haemagg_act
RMDv1_0000002196	59931.WH7805_10653	1.41e-25	126.0	COG2931@1|root,COG3210@1|root,COG4932@1|root,COG5184@1|root,COG2931@2|Bacteria,COG3210@2|Bacteria,COG4932@2|Bacteria,COG5184@2|Bacteria,1GBCU@1117|Cyanobacteria	1117|Cyanobacteria	DMQZ	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	He_PIG,HemolysinCabind
RMDv1_0000002197	1298593.TOL_0394	5.44e-47	197.0	COG2304@1|root,COG2304@2|Bacteria,1R30D@1224|Proteobacteria,1T60R@1236|Gammaproteobacteria,1XKMA@135619|Oceanospirillales	2|Bacteria	S	oxidoreductase activity	-	-	-	ko:K07114	-	-	-	-	ko00000,ko02000	1.A.13.2.2,1.A.13.2.3	-	-	CHU_C,DUF11,Glug,NADase_NGA
RMDv1_0000002198	1254432.SCE1572_13250	0.0	1410.0	COG0001@1|root,COG0604@1|root,COG1020@1|root,COG3321@1|root,COG0001@2|Bacteria,COG0604@2|Bacteria,COG1020@2|Bacteria,COG3321@2|Bacteria,1QK4F@1224|Proteobacteria,43E1T@68525|delta/epsilon subdivisions,2X7HJ@28221|Deltaproteobacteria,2Z3M9@29|Myxococcales	28221|Deltaproteobacteria	Q	Short-chain dehydrogenase reductase SDR	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Acyl_transf_1,Condensation,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002199	1379698.RBG1_1C00001G1317	4.31e-10	74.3	COG1361@1|root,COG3391@1|root,COG1361@2|Bacteria,COG3391@2|Bacteria	2|Bacteria	CO	amine dehydrogenase activity	-	-	3.4.24.40	ko:K01406	ko01503,map01503	-	-	-	ko00000,ko00001,ko01000,ko01002	-	-	-	-
RMDv1_0000002200	1279017.AQYJ01000029_gene3464	5.83e-285	932.0	COG3209@1|root,COG3209@2|Bacteria,1MVV1@1224|Proteobacteria,1RMPT@1236|Gammaproteobacteria,464DD@72275|Alteromonadaceae	1236|Gammaproteobacteria	M	COG3209 Rhs family protein	-	-	-	-	-	-	-	-	-	-	-	-	RHS_repeat,SpvB,TcdB_toxin_midN,VCBS
RMDv1_0000002201	472759.Nhal_3623	1.76e-48	197.0	COG1404@1|root,COG1404@2|Bacteria,1RDZC@1224|Proteobacteria,1S91S@1236|Gammaproteobacteria	1236|Gammaproteobacteria	O	Subtilase family	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_S8
RMDv1_0000002202	378806.STAUR_6990	4.18e-177	606.0	COG4412@1|root,COG4412@2|Bacteria,1R3SG@1224|Proteobacteria,42SZZ@68525|delta/epsilon subdivisions,2WPD0@28221|Deltaproteobacteria,2YUKS@29|Myxococcales	28221|Deltaproteobacteria	E	Fungalysin metallopeptidase (M36)	-	-	-	-	-	-	-	-	-	-	-	-	PA,Peptidase_M36,REJ
RMDv1_0000002203	392500.Swoo_0491	9.15e-38	167.0	COG1520@1|root,COG2304@1|root,COG2911@1|root,COG2931@1|root,COG4932@1|root,COG1520@2|Bacteria,COG2304@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria,2QESR@267890|Shewanellaceae	1236|Gammaproteobacteria	Q	PFAM Hemolysin-type calcium-binding region	lapA	-	-	ko:K12549	-	-	-	-	ko00000	-	-	-	Big_3_2,Cadherin_3,Calx-beta,HemolysinCabind,VWA,VWA_2
RMDv1_0000002204	269084.syc0216_c	1.01e-83	314.0	COG2273@1|root,COG2931@1|root,COG2273@2|Bacteria,COG2931@2|Bacteria,1G2GC@1117|Cyanobacteria,1H0CR@1129|Synechococcus	1117|Cyanobacteria	Q	Q COG2931 RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	Calx-beta,FG-GAP
RMDv1_0000002205	220341.16505248	6.73e-37	164.0	COG2931@1|root,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria,3ZJZS@590|Salmonella	1236|Gammaproteobacteria	Q	Fibronectin type 3 domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_2,Big_3_3,VCBS
RMDv1_0000002206	225849.swp_3423	2.67e-157	558.0	COG2911@1|root,COG3897@1|root,COG5384@1|root,COG2911@2|Bacteria,COG3897@2|Bacteria,COG5384@2|Bacteria,1P8N9@1224|Proteobacteria	1224|Proteobacteria	MU	HemY domain protein	-	-	-	ko:K20276	ko02024,map02024	-	-	-	ko00000,ko00001	-	-	-	Big_3_2,DUF1573,DUF5122,SWM_repeat
RMDv1_0000002207	438753.AZC_1301	2.07e-89	335.0	COG2730@1|root,COG2730@2|Bacteria,1QU12@1224|Proteobacteria,2TYN6@28211|Alphaproteobacteria,3F11R@335928|Xanthobacteraceae	28211|Alphaproteobacteria	G	CBD_II	-	-	3.2.1.14,3.2.1.4	ko:K01179,ko:K01183	ko00500,ko00520,ko01100,map00500,map00520,map01100	-	R01206,R02334,R06200,R11307,R11308	RC00467	ko00000,ko00001,ko01000	-	GH18,GH5,GH9	-	CBM_2,Calx-beta,Cellulase
RMDv1_0000002208	59931.WH7805_10653	9.09e-93	348.0	COG2931@1|root,COG3210@1|root,COG4932@1|root,COG5184@1|root,COG2931@2|Bacteria,COG3210@2|Bacteria,COG4932@2|Bacteria,COG5184@2|Bacteria,1GBCU@1117|Cyanobacteria	1117|Cyanobacteria	DMQZ	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	He_PIG,HemolysinCabind
RMDv1_0000002209	90371.CY43_22240	3.53e-39	171.0	COG2931@1|root,COG4932@1|root,COG2931@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria,3ZJZS@590|Salmonella	1236|Gammaproteobacteria	Q	Fibronectin type 3 domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_2,Big_3_3,VCBS
RMDv1_0000002210	296587.XP_002506687.1	1.41e-102	369.0	2E3BA@1|root,2SAF2@2759|Eukaryota,3822D@33090|Viridiplantae,34NGR@3041|Chlorophyta	3041|Chlorophyta	S	FG-GAP repeat	-	-	-	-	-	-	-	-	-	-	-	-	FG-GAP_2
RMDv1_0000002211	59931.WH7805_10653	8.02e-19	104.0	COG2931@1|root,COG3210@1|root,COG4932@1|root,COG5184@1|root,COG2931@2|Bacteria,COG3210@2|Bacteria,COG4932@2|Bacteria,COG5184@2|Bacteria,1GBCU@1117|Cyanobacteria	1117|Cyanobacteria	DMQZ	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	He_PIG,HemolysinCabind
RMDv1_0000002212	755731.Clo1100_1263	1.27e-82	314.0	COG1520@1|root,COG2911@1|root,COG3391@1|root,COG1520@2|Bacteria,COG2911@2|Bacteria,COG3391@2|Bacteria,1VQQT@1239|Firmicutes,248VB@186801|Clostridia,36MFD@31979|Clostridiaceae	186801|Clostridia	S	HYR domain	-	-	-	-	-	-	-	-	-	-	-	-	CBM_3,FlgD_ig,HYR
RMDv1_0000002213	1246459.KB898357_gene1693	4.21e-20	108.0	COG2911@1|root,COG2931@1|root,COG4932@1|root,COG2911@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,2U1YP@28211|Alphaproteobacteria,4B9W3@82115|Rhizobiaceae	28211|Alphaproteobacteria	Q	COG2931, RTX toxins and related Ca2 -binding proteins	-	-	-	-	-	-	-	-	-	-	-	-	He_PIG,HemolysinCabind,VWA_2
RMDv1_0000002214	272123.Anacy_1299	0.0	1733.0	COG0318@1|root,COG3321@1|root,COG4221@1|root,COG0318@2|Bacteria,COG3321@2|Bacteria,COG4221@2|Bacteria,1FZXE@1117|Cyanobacteria,1HJCN@1161|Nostocales	1117|Cyanobacteria	IQ	Acyl transferase domain in polyketide synthase (PKS) enzymes.	-	-	-	-	-	-	-	-	-	-	-	-	ADH_N,ADH_zinc_N,ADH_zinc_N_2,AMP-binding,Acyl_transf_1,Aminotran_1_2,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002215	426117.M446_0172	0.0	1472.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002216	59931.WH7805_10653	1.75e-23	119.0	COG2931@1|root,COG3210@1|root,COG4932@1|root,COG5184@1|root,COG2931@2|Bacteria,COG3210@2|Bacteria,COG4932@2|Bacteria,COG5184@2|Bacteria,1GBCU@1117|Cyanobacteria	1117|Cyanobacteria	DMQZ	amine dehydrogenase activity	-	-	-	-	-	-	-	-	-	-	-	-	He_PIG,HemolysinCabind
RMDv1_0000002217	90371.CY43_22240	3.01e-38	168.0	COG2931@1|root,COG4932@1|root,COG2931@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria,3ZJZS@590|Salmonella	1236|Gammaproteobacteria	Q	Fibronectin type 3 domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_2,Big_3_3,VCBS
RMDv1_0000002218	426117.M446_0172	0.0	1480.0	COG3321@1|root,COG3321@2|Bacteria,1R89Z@1224|Proteobacteria,2UR2U@28211|Alphaproteobacteria,1JS6P@119045|Methylobacteriaceae	28211|Alphaproteobacteria	CQ	PFAM short-chain dehydrogenase reductase SDR	-	-	-	ko:K12436	-	-	-	-	ko00000,ko01004	-	-	-	ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002219	1121926.AXWO01000007_gene187	3.12e-46	194.0	COG1388@1|root,COG1388@2|Bacteria,2IF1H@201174|Actinobacteria	201174|Actinobacteria	M	LysM domain	-	-	-	-	-	-	-	-	-	-	-	-	LysM
RMDv1_0000002220	296587.XP_002506687.1	2.55e-68	263.0	2E3BA@1|root,2SAF2@2759|Eukaryota,3822D@33090|Viridiplantae,34NGR@3041|Chlorophyta	3041|Chlorophyta	S	FG-GAP repeat	-	-	-	-	-	-	-	-	-	-	-	-	FG-GAP_2
RMDv1_0000002221	324057.Pjdr2_1410	1.29e-11	80.5	COG0747@1|root,COG1361@1|root,COG3210@1|root,COG4733@1|root,COG5184@1|root,COG5492@1|root,COG0747@2|Bacteria,COG1361@2|Bacteria,COG3210@2|Bacteria,COG4733@2|Bacteria,COG5184@2|Bacteria,COG5492@2|Bacteria,1VX9E@1239|Firmicutes,4HIIK@91061|Bacilli,26SBE@186822|Paenibacillaceae	91061|Bacilli	M	S-layer homology domain	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_5,MucBP,SLH
RMDv1_0000002222	166314.Syncc8109_0600	2.03e-18	102.0	COG2373@1|root,COG2931@1|root,COG4932@1|root,COG5276@1|root,COG2373@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,COG5276@2|Bacteria,1G2XZ@1117|Cyanobacteria,1H051@1129|Synechococcus	1117|Cyanobacteria	Q	repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_3,DUF4347,FG-GAP_2,VCBS
RMDv1_0000002223	1449050.JNLE01000003_gene2074	0.0	3046.0	COG3321@1|root,COG3321@2|Bacteria,1VU8Z@1239|Firmicutes,24YJI@186801|Clostridia,36UKQ@31979|Clostridiaceae	186801|Clostridia	Q	Beta-ketoacyl synthase	-	-	-	ko:K13613	-	-	-	-	ko00000,ko01004,ko01008	-	-	-	KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
RMDv1_0000002224	661367.LLO_3002	1.76e-203	708.0	COG1470@1|root,COG1520@1|root,COG3291@1|root,COG4447@1|root,COG5184@1|root,COG1470@2|Bacteria,COG1520@2|Bacteria,COG3291@2|Bacteria,COG4447@2|Bacteria,COG5184@2|Bacteria,1RBUT@1224|Proteobacteria,1S27R@1236|Gammaproteobacteria,1JEPR@118969|Legionellales	118969|Legionellales	DZ	Part of the outer membrane protein assembly complex, which is involved in assembly and insertion of beta-barrel proteins into the outer membrane	-	-	-	-	-	-	-	-	-	-	-	-	DUF5122
RMDv1_0000002225	166314.Syncc8109_0600	2.99e-17	99.0	COG2373@1|root,COG2931@1|root,COG4932@1|root,COG5276@1|root,COG2373@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,COG5276@2|Bacteria,1G2XZ@1117|Cyanobacteria,1H051@1129|Synechococcus	1117|Cyanobacteria	Q	repeat protein	-	-	-	-	-	-	-	-	-	-	-	-	Big_3_3,DUF4347,FG-GAP_2,VCBS
RMDv1_0000002226	392500.Swoo_0491	1.69e-46	196.0	COG1520@1|root,COG2304@1|root,COG2911@1|root,COG2931@1|root,COG4932@1|root,COG1520@2|Bacteria,COG2304@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG4932@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria,2QESR@267890|Shewanellaceae	1236|Gammaproteobacteria	Q	PFAM Hemolysin-type calcium-binding region	lapA	-	-	ko:K12549	-	-	-	-	ko00000	-	-	-	Big_3_2,Cadherin_3,Calx-beta,HemolysinCabind,VWA,VWA_2
RMDv1_0000002227	388467.A19Y_3870	0.0	2024.0	COG1020@1|root,COG1020@2|Bacteria,1G0XE@1117|Cyanobacteria,1H837@1150|Oscillatoriales	1117|Cyanobacteria	Q	Non-ribosomal peptide synthetase modules and related	-	-	-	-	-	-	-	-	-	-	-	-	AMP-binding,AMP-binding_C,Condensation,Methyltransf_12,Methyltransf_25,NAD_binding_4,PP-binding,Thioesterase
RMDv1_0000002228	985054.JQEZ01000002_gene3829	5.56e-14	88.2	COG3468@1|root,COG4625@1|root,COG3468@2|Bacteria,COG4625@2|Bacteria,1MU92@1224|Proteobacteria,2TX9B@28211|Alphaproteobacteria	28211|Alphaproteobacteria	MU	Autotransporter beta-domain	-	-	-	ko:K19231	-	-	-	-	ko00000,ko02000	1.B.12	-	-	Autotransporter,PATR
